adm_name,adm_code,adm_level,system,bana,barl,bean,chic,cott,grou,lent,maiz,mill,ocer,ooil,opul,pota,rape,rest,rice,sorg,soyb,sugc,sunf,swpo,temf,toba,trof,vege,whea
Australia,AU0,0,H,0,3453999.999977489,52000,262000,202202.14885342176,7507.302445543245,117000,40599.64309789926,38961,1082499.9957849563,24963,0,21015.668890485525,1458999.999907442,0,58028.01577684375,175918.9537138431,55999.99983377725,107160.67890404677,161999.9996375524,850,0,3185,0,0,6134355.910196565
Australia,AU0,0,I,0,0,0,0,262097.8511465782,9892.697547113454,0,41662.35665268341,0,0,0,0,21146.33104402126,0,0,75271.98422315624,446348.0462861582,0,311839.32109595323,0,0,0,0,0,0,6006644.089699913
Australia,AU0,0,L,13436,2.2508326998134478e-5,0,0,0,7.3433071935521645e-6,0,2.4941744518225986e-4,0,0.0042150440984613236,0,1794000,6.549324207963861e-5,9.255714791902681e-5,19639,0,0,1.6622270726573843e-4,0,3.6244759994655766e-4,0,170070,0,59534,70643,1.0352900175704796e-4
Australia,AU0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
